"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word","score"
"36",FALSE,0,NA,2017-11-14 20:27:42,FALSE,NA,"930532717153931272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliverjpro",101,TRUE,FALSE,NA,NA,"missing",-2
"37",FALSE,0,NA,2017-11-14 20:27:42,FALSE,NA,"930532717153931272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliverjpro",101,TRUE,FALSE,NA,NA,"lack",-2
"38",FALSE,0,NA,2017-11-14 20:27:42,FALSE,NA,"930532717153931272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliverjpro",101,TRUE,FALSE,NA,NA,"risk",-2
"39",FALSE,0,NA,2017-11-14 20:27:42,FALSE,NA,"930532717153931272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliverjpro",101,TRUE,FALSE,NA,NA,"cancer",-1
"40",FALSE,0,NA,2017-11-14 20:26:35,FALSE,NA,"930532434206187522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emileesi_",282,TRUE,FALSE,NA,NA,"like",2
"41",FALSE,0,NA,2017-11-14 20:26:35,FALSE,NA,"930532434206187522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emileesi_",282,TRUE,FALSE,NA,NA,"ass",-4
"42",FALSE,0,NA,2017-11-14 20:26:35,FALSE,NA,"930532434206187522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emileesi_",282,TRUE,FALSE,NA,NA,"fucking",-4
"43",FALSE,0,NA,2017-11-14 20:26:27,FALSE,NA,"930532401389932544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaissyBA",101,TRUE,FALSE,NA,NA,"missing",-2
"44",FALSE,0,NA,2017-11-14 20:26:27,FALSE,NA,"930532401389932544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaissyBA",101,TRUE,FALSE,NA,NA,"lack",-2
"45",FALSE,0,NA,2017-11-14 20:26:27,FALSE,NA,"930532401389932544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaissyBA",101,TRUE,FALSE,NA,NA,"risk",-2
"46",FALSE,0,NA,2017-11-14 20:26:27,FALSE,NA,"930532401389932544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaissyBA",101,TRUE,FALSE,NA,NA,"cancer",-1
"47",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532393655652352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mynamesfia",1,TRUE,FALSE,NA,NA,"recommend",2
"48",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532393655652352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mynamesfia",1,TRUE,FALSE,NA,NA,"feeling",1
"49",FALSE,0,NA,2017-11-14 20:26:25,FALSE,NA,"930532392959430657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","searCH_mY_NAme",282,TRUE,FALSE,NA,NA,"like",2
